,Movies,Worldwide Collections
0,Bad Boys for Life,"$419,074,646"
1,Sonic the Hedgehog,"$306,766,470"
2,Dolittle,"$223,343,452"
3,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461"
4,The Invisible Man,"$124,682,822"
5,The Gentlemen,"$114,996,853"
6,The Call of the Wild,"$107,604,626"
7,The Grudge,"$49,511,319"
8,Fantasy Island,"$47,315,959"
9,Underwater,"$40,882,928"
10,Like a Boss,"$29,753,143"
11,Bloodshot,"$28,791,637"
12,Emma.,"$25,187,470"
13,Gretel & Hansel,"$21,288,630"
14,Brahms: The Boy II,"$20,311,536"
15,The Turning,"$18,592,707"
16,The Way Back,"$14,690,514"
17,La Belle Époque,"$13,684,904"
18,I Still Believe,"$10,707,293"
19,The Hunt,"$6,914,983"
20,Las Pildoras De Mi Novio,"$6,292,780"
21,The Rhythm Section,"$5,989,583"
22,My Spy,"$5,408,207"
23,Trolls World Tour,"$4,017,371"
24,The Last Full Measure,"$3,095,308"
25,The Lodge,"$2,681,784"
26,The High Note,"$545,602"
27,Blind Eyes Opened,"$234,505"
28,Burden,"$153,111"
29,"14 Days, 12 Nights","$122,806"
30,First Cow,"$101,068"
31,The King of Staten Island,"$86,027"
