,Movies,Worldwide Collections
0,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889"
1,Beauty and the Beast,"$1,263,521,126"
2,The Fate of the Furious,"$1,236,005,118"
3,Despicable Me 3,"$1,034,799,409"
4,Jumanji: Welcome to the Jungle,"$962,077,546"
5,Spider-Man: Homecoming,"$880,166,924"
6,Wolf Warrior 2,"$870,325,439"
7,Guardians of the Galaxy Vol. 2,"$863,756,051"
8,Thor: Ragnarok,"$853,977,126"
9,Wonder Woman,"$821,847,012"
10,Coco,"$807,082,196"
11,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794"
12,It,"$700,381,748"
13,Justice League,"$657,924,295"
14,Logan,"$619,021,436"
15,Transformers: The Last Knight,"$605,425,157"
16,Kong: Skull Island,"$566,652,812"
17,The Boss Baby,"$527,965,936"
18,Dunkirk,"$525,245,546"
19,War for the Planet of the Apes,"$490,719,763"
20,The Greatest Showman,"$434,993,183"
21,Kingsman: The Golden Circle,"$410,902,662"
22,The Mummy,"$409,231,607"
23,Cars 3,"$383,930,656"
24,Fifty Shades Darker,"$381,545,846"
25,Murder on the Orient Express,"$352,789,811"
26,xXx: Return of Xander Cage,"$346,118,277"
27,The Lego Batman Movie,"$311,950,384"
28,The Ex-File 3: The Return of The Exes,"$307,592,427"
29,Annabelle: Creation,"$306,515,884"
30,Wonder,"$305,937,718"
31,Ferdinand,"$296,069,199"
32,Split,"$278,454,358"
33,Blade Runner 2049,"$259,239,658"
34,Kung Fu Yoga,"$257,743,016"
35,Get Out,"$255,407,969"
36,Baahubali 2: The Conclusion,"$254,158,390"
37,Journey to the West: The Demons Strike Back,"$247,585,244"
38,Alien: Covenant,"$240,891,763"
39,Paddington 2,"$227,978,523"
40,Youth,"$227,091,290"
41,Baby Driver,"$226,945,087"
42,Valerian and the City of a Thousand Planets,"$225,874,228"
43,Geostorm,"$221,600,160"
44,The Emoji Movie,"$217,776,646"
45,A Dog's Purpose,"$205,035,819"
46,Smurfs: The Lost Village,"$197,183,546"
47,The Shape of Water,"$195,333,312"
48,Pitch Perfect 3,"$185,400,345"
49,Daddy's Home 2,"$180,613,180"
50,The Post,"$179,769,457"
51,Baywatch,"$177,856,751"
52,The Hitman's Bodyguard,"$176,586,701"
53,John Wick: Chapter 2,"$171,539,887"
54,Ghost in the Shell,"$169,801,921"
55,"Three Billboards Outside Ebbing, Missouri","$160,192,031"
56,Duckweed,"$152,894,264"
57,Darkest Hour,"$150,847,207"
58,King Arthur: Legend of the Sword,"$148,675,066"
59,The Foreigner,"$145,374,099"
60,Power Rangers,"$142,337,240"
61,Girls Trip,"$140,552,359"
62,American Made,"$134,866,593"
63,A Bad Moms Christmas,"$130,560,428"
64,Happy Death Day,"$125,479,266"
65,Captain Underpants: The First Epic Movie,"$125,427,681"
66,The Lego Ninjago Movie,"$123,081,555"
67,Secret Superstar,"$122,026,260"
68,The Commuter,"$119,942,387"
69,The Dark Tower,"$113,231,078"
70,Buddies in India,"$110,155,128"
71,Along With the Gods: The Two Worlds,"$109,383,972"
72,Jigsaw,"$102,952,888"
73,Life,"$100,541,806"
74,Atomic Blonde,"$100,014,025"
75,The Shack,"$96,942,115"
76,Chasing the Dragon,"$87,965,942"
77,Tiger Zinda Hai,"$87,320,000"
78,A Taxi Driver,"$86,252,940"
79,Going in Style,"$84,918,541"
80,Rings,"$83,080,890"
81,Once Upon A Time,"$82,886,178"
