,Movies,Worldwide Collections
82,Lady Bird,"$78,965,611"
83,The Nut Job 2: Nutty by Nature,"$68,743,485"
84,American Assassin,"$67,234,188"
85,Victoria & Abdul,"$66,558,465"
86,The Mountain Between Us,"$62,832,209"
87,The Star,"$62,812,974"
88,How to Be a Latin Lover,"$62,547,032"
89,47 Meters Down,"$62,187,529"
90,"Everything, Everything","$61,621,140"
91,Snatched,"$60,845,711"
92,My Little Pony: The Movie,"$60,330,833"
93,Molly's Game,"$59,284,015"
94,The Devotion of Suspect X,"$59,035,664"
95,Shock Wave,"$58,815,633"
96,Goldbuster,"$57,628,292"
97,All the Money in the World,"$56,996,304"
98,The Big Sick,"$56,411,585"
99,Confidential Assignment,"$55,972,241"
100,All Eyez on Me,"$55,668,698"
101,Downsizing,"$55,003,890"
102,"I, Tonya","$53,939,297"
103,Logan Lucky,"$48,453,605"
104,Boo 2! A Madea Halloween,"$48,333,932"
105,Phantom Thread,"$47,756,590"
106,Rough Night,"$47,347,283"
107,Son of Bigfoot,"$47,046,281"
108,The Thousand Faces of Dunjia,"$46,263,237"
109,The Battleship Island,"$46,183,383"
110,Flatliners,"$45,158,254"
111,Mother!,"$44,516,999"
112,Wind River,"$43,980,821"
113,Battle of Memories,"$43,892,362"
114,The Snowman,"$43,155,261"
115,Gifted,"$43,046,590"
116,Loving Vincent,"$42,187,665"
117,Mary and the Witch's Flower,"$41,978,431"
118,Call Me by Your Name,"$41,887,595"
119,T2 Trainspotting,"$41,681,746"
120,Fist Fight,"$41,087,017"
121,The Circle,"$40,656,399"
122,Diary of a Wimpy Kid: The Long Haul,"$40,140,972"
123,Brotherhood of Blades 2,"$39,966,092"
124,Pokémon the Movie: I Choose You!,"$37,552,144"
125,Home Again,"$37,270,721"
126,The Adventurers,"$36,796,816"
127,Tad the Lost Explorer and the Secret of King Midas,"$35,704,046"
128,Hostiles,"$35,669,017"
129,Namiya,"$35,351,623"
130,Kidnap,"$34,814,102"
131,The House,"$34,184,504"
132,I Want to Eat Your Pancreas,"$33,748,006"
133,Perfect Strangers,"$33,262,366"
134,Sleepless,"$32,917,353"
135,This Is Not What I Expected,"$30,996,615"
136,Reset 2017 Re-release,"$29,949,252"
137,The Bye Bye Man,"$29,874,280"
138,The Disaster Artist,"$29,820,616"
139,The Swindlers,"$29,721,916"
140,Sword Art Online The Movie: Ordinal Scale,"$29,322,339"
141,Twins 2,"$28,733,523"
142,The Fortress,"$28,645,448"
143,Monster Family,"$27,890,108"
144,The Beguiled,"$27,869,129"
145,Chips,"$26,800,152"
146,A Cure for Wellness,"$26,620,002"
147,Only the Brave,"$26,351,322"
148,The Zookeeper's Wife,"$26,152,835"
149,Badrinath Ki Dulhania,"$26,134,309"
150,Fireworks,"$25,672,406"
151,Father Figures,"$25,601,244"
152,The Death of Stalin,"$24,646,055"
153,Jolly LLB 2,"$24,214,186"
154,I Can Speak,"$24,024,444"
155,Wish Upon,"$23,468,586"
156,Detroit,"$23,355,100"
157,Extraordinary Mission,"$22,757,764"
158,The Glass Castle,"$22,088,533"
159,Leap! 2017 Re-release,"$21,929,861"
160,The Prison,"$21,205,329"
161,It Comes at Night,"$19,735,344"
162,The Lost City of Z,"$19,263,938"
163,Memoir of a Murderer,"$19,015,346"
164,Battle of the Sexes,"$18,598,607"
165,Fabricated City,"$18,307,490"
166,The Case for Christ,"$18,175,663"
167,Unforgettable,"$17,768,012"
168,Toilet: A Love Story,"$17,567,417"
169,Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935"
170,Legend of the Naga Pearls,"$17,274,695"
171,Before I Fall,"$16,373,843"
172,The Space Between Us,"$16,080,475"
173,Wonder Wheel,"$15,889,124"
174,Gold,"$14,880,939"
175,School of Life,"$14,880,497"
176,Megan Leavey,"$14,510,490"
177,Do It Like An Hombre,"$13,610,252"
178,The Third Murder,"$13,411,936"
179,Our President,"$13,392,049"
180,Paris Can Wait,"$13,203,541"
181,"Roman J. Israel, Esq.","$13,025,860"
182,Mubarakan,"$12,899,968"
183,Earth: One Amazing Day,"$12,851,540"
184,Suburbicon,"$12,751,667"
185,Their Finest,"$12,597,262"
186,The Promise,"$12,448,676"
187,Marrowbone,"$12,294,931"
188,The Bookshop,"$12,055,868"
189,Viceroy's House,"$11,868,221"
190,Back to Burgundy,"$11,625,884"
191,The King's Case Note,"$11,383,493"
192,The Belko Experiment,"$11,084,630"
193,The Florida Project,"$10,971,298"
194,A Bag of Marbles,"$10,898,998"
195,The Leisure Seeker,"$10,472,180"
196,Furious,"$10,433,259"
197,Marshall,"$10,116,816"
198,Thank You for Your Service,"$9,995,692"
199,Maudie,"$9,733,932"
200,Overdrive,"$9,650,552"
201,God of War,"$9,559,524"
202,The Square,"$9,493,791"
203,Our Time Will Come,"$9,484,714"
204,The Mayor 2017 Re-release,"$9,476,194"
205,The Big Bad Fox and Other Tales 2017 Re-release,"$9,422,127"
206,You Were Never Really Here,"$9,360,514"
207,Tulip Fever,"$9,204,549"
208,My Cousin Rachel,"$9,200,168"
209,City Of Rock,"$9,118,873"
210,Bluebeard,"$8,855,737"
211,The Villainess,"$8,737,458"
212,Stronger,"$8,503,658"
213,Amityville: The Awakening,"$8,481,997"
214,Condorito: The Movie,"$8,431,194"
215,Raees,"$8,428,190"
216,I Am Not Your Negro,"$8,345,298"
217,The Man Who Invented Christmas,"$8,096,007"
218,3 idiotas,"$7,738,470"
219,Explosion,"$7,731,410"
220,BPM (Beats Per Minute),"$7,704,369"
221,Just Getting Started,"$7,634,022"
222,Beatriz at Dinner,"$7,425,391"
223,Goodbye Christopher Robin,"$7,401,949"
224,The Midwife,"$7,286,136"
225,Let There Be Light,"$7,233,471"
226,Birth of the Dragon,"$7,215,027"
227,Blade of the Immortal,"$7,162,617"
228,The Killing of a Sacred Deer,"$7,027,336"
229,Churchill,"$6,724,365"
230,Everybody Loves Somebody,"$6,481,798"
231,Same Kind of Different as Me,"$6,423,605"
232,Hampstead,"$6,335,171"
233,Lowriders,"$6,312,033"
234,Norman,"$6,217,567"
235,All Saints,"$5,942,565"
236,Phillauri,"$5,805,030"
237,Dalida,"$5,623,134"
238,The Party,"$5,597,950"
239,Warriors of the Dawn,"$5,497,176"
240,OK Jaanu,"$5,445,281"
241,An Inconvenient Sequel: Truth to Power,"$5,433,926"
242,Lady Macbeth,"$5,401,447"
243,In the Fade,"$5,104,991"
244,The Sense of an Ending,"$5,081,495"
245,Table 19,"$5,042,014"
246,Kedi,"$5,037,923"
247,Breathe,"$5,026,154"
248,Double Lover,"$5,012,423"
249,The Young Karl Marx,"$4,870,373"
250,Mazinger Z: INFINITY,"$4,812,371"
251,Unlocked,"$4,699,125"
252,Tubelight,"$4,650,456"
253,The Book of Henry,"$4,596,705"
254,Colossal,"$4,531,320"
255,The Wall,"$4,476,705"
256,In Harm's Way,"$4,447,734"
257,When Harry Met Sejal,"$4,407,775"
258,Mark Felt: The Man Who Brought Down the White House,"$4,372,130"
259,The Other Side of Hope,"$4,282,973"
260,Let the Sunshine In,"$4,192,590"
261,The Guardians,"$4,167,608"
262,The Hero,"$4,101,699"
263,Film Stars Don't Die in Liverpool,"$4,047,917"
264,Jeepers Creepers III,"$4,017,852"
265,Faces Places,"$3,998,450"
266,Sleight,"$3,989,705"
267,The Nile Hilton Incident,"$3,979,536"
268,2:22,"$3,945,729"
269,Terminator 2: Judgment Day 2017 Re-release,"$3,931,111"
270,Loveless,"$3,925,992"
271,"The Night Is Short, Walk on Girl","$3,878,208"
272,Django,"$3,876,874"
273,2001: A Space Odyssey 2017 Re-release,"$3,823,450"
274,Brad's Status,"$3,816,527"
275,Free Fire,"$3,719,383"
276,A Fantastic Woman,"$3,702,353"
277,Crooked House,"$3,625,952"
278,The Insult,"$3,601,603"
279,Phoenix Forgotten,"$3,600,146"
280,Heart Blackened,"$3,593,480"
281,Til Death Do Us Part,"$3,455,267"
282,A Gentleman,"$3,438,746"
283,Borg vs. McEnroe,"$3,430,165"
284,Gauguin: Voyage to Tahiti,"$3,389,322"
285,Wonderstruck,"$3,285,916"
286,Good Time,"$3,283,369"
287,Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,"$3,184,384"
288,Madame 2017 Re-release,"$3,182,153"
289,Ingrid Goes West,"$3,146,831"
290,Close Encounters of the Third Kind 2017 Re-release,"$3,101,507"
291,Raw,"$3,096,815"
292,Ismael's Ghosts,"$3,075,562"
293,The Last Word,"$2,982,004"
294,The Oscar Nominated Short Films 2017: Live Action,"$2,877,797"
295,Inhumans,"$2,852,282"
296,Lucky,"$2,728,446"
297,Gangsterdam,"$2,697,522"
298,Beautiful Accident,"$2,632,092"
299,Happy End,"$2,610,794"
300,Poster Boys,"$2,602,256"
301,A Question of Faith,"$2,587,072"
302,Is Genesis History?,"$2,570,392"
303,God's Own Country,"$2,559,939"
304,The Only Living Boy in New York,"$2,550,321"
305,Disney's Newsies: The Broadway Musical!,"$2,545,060"
306,The Dinner,"$2,544,921"
307,IN OUR HANDS: Battle for Jerusalem,"$2,534,370"
308,Coincidence,"$2,520,487"
309,LBJ,"$2,510,151"
310,The Resurrection of Gavin Stone,"$2,308,355"
311,RV: Resurrected Victims,"$2,269,892"
312,The Lovers,"$2,216,083"
313,What Will People Say,"$2,191,131"
314,Let Yourself Go,"$2,140,190"
315,Mountain,"$2,129,889"
316,Abracadabra,"$2,114,260"
317,Lost in Paris,"$2,087,225"
318,Hotchpotch Again,"$2,036,454"
319,The Trip to Spain,"$1,988,841"
320,Summer 1993,"$1,983,149"
321,Menashe,"$1,962,265"
322,A Ghost Story,"$1,951,683"
323,Jane,"$1,921,221"
324,Professor Marston & the Wonder Women,"$1,899,615"
325,Marie Curie: The Courage of Knowledge,"$1,892,911"
326,Last Flag Flying,"$1,872,950"
327,Human Flow,"$1,824,537"
328,Song to Song,"$1,778,021"
329,Tom of Finland,"$1,776,931"
330,Dunkirk 2017 Re-release,"$1,696,804"
331,Slamma Jamma,"$1,687,000"
332,Final Portrait,"$1,677,835"
333,The Little Hours,"$1,647,175"
334,A Family Man,"$1,641,235"
335,Walk With Me,"$1,606,705"
336,Dance Academy: The Movie,"$1,586,858"
337,The Stray,"$1,579,440"
338,Genesis: Paradise Lost,"$1,575,000"
339,Gold,"$1,528,185"
340,Mully,"$1,489,771"
341,Patti Cake$,"$1,482,356"
342,Thelma,"$1,463,727"
343,My Friend Dahmer,"$1,436,751"
344,Fairy Tail: Dragon Cry,"$1,420,035"
345,Godard Mon Amour,"$1,335,846"
346,The Women's Balcony,"$1,272,517"
347,Chonda Pierce: Enough,"$1,260,116"
348,Slumber,"$1,243,832"
349,1945,"$1,240,663"
350,True to the Game,"$1,231,040"
351,Steve McQueen: American Icon,"$1,229,782"
352,Spirited Away 2017 Re-release,"$1,196,791"
353,Shubh Mangal Savdhan,"$1,188,541"
354,Napping Princess,"$1,156,847"
355,Detective Jagga,"$1,154,862"
356,Step,"$1,152,839"
357,Fathom Premieres 6 Below: Miracle on the Mountain,"$1,135,531"
358,Columbus,"$1,093,077"
359,Bombshell: The Hedy Lamarr Story,"$1,092,277"
360,Spark: A Space Tail,"$1,040,689"
361,Casablanca 2017 Re-release,"$1,024,560"
362,Ghost House,"$1,004,155"
363,The Workshop,"$1,000,056"
364,Beyond Skyline,"$992,181"
365,Under the Tree,"$944,991"
366,Rebel in the Rye,"$944,370"
367,Afterimage,"$943,029"
368,Landline,"$940,854"
369,Paradise,"$921,242"
370,Bitter Harvest,"$904,399"
371,The Polar Express 2017 IMAX Release,"$875,150"
372,Wilson,"$848,646"
373,The Exception,"$834,572"
374,Inside,"$824,414"
375,Wakefield,"$798,214"
376,George Takei's Allegiance,"$784,850"
377,The Paris Opera,"$781,039"
378,The Shining 2017 Re-release,"$760,309"
379,Tommy's Honour,"$751,345"
380,May It Last,"$725,286"
381,12 Days,"$722,049"
382,Revive Us 2,"$718,607"
383,Countdown to Canelo vs. Golovkin,"$703,396"
384,Buena Vista Social Club: Adios,"$701,575"
385,The Secret Scripture,"$694,981"
386,Chris Brown: Welcome To My Life,"$693,984"
387,Titanic 2017 Re-release,"$691,642"
388,Stefan Zweig: Farewell to Europe 2017 Re-release,"$683,063"
389,Brigsby Bear,"$681,632"
390,All I See Is You,"$678,150"
391,Whisky Galore,"$653,866"
392,The Black Prince,"$632,823"
393,Grace Jones: Bloodlight and Bami,"$632,394"
394,Jonah: The Musical,"$631,154"
395,The Last Suit,"$608,209"
396,Neither Wolf Nor Dog,"$589,289"
397,Novitiate,"$580,346"
398,Bedeviled,"$579,942"
399,The Room 2017 Re-release,"$572,340"
400,Samaritan's Purse presents Facing Darkness,"$555,533"
401,Dolores,"$555,309"
402,Trespass Against Us,"$517,197"
403,Black Butler: Book of the Atlantic,"$511,132"
404,Una,"$508,169"
405,Gabriel and the Mountain,"$505,769"
406,Letters From Baghdad,"$502,941"
407,Chuck,"$502,518"
408,Soul on a String,"$491,294"
409,Zama,"$489,692"
410,Beach Rats,"$486,623"
411,The Journey,"$482,209"
412,DCI 2017 Tour Premeire,"$467,817"
413,Eric Clapton: A Life in 12 Bars,"$459,088"
414,Sailor Moon R: The Movie: The Promise of the Rose,"$452,053"
415,Perfect Blue 2017 Re-release,"$450,594"
416,Pearl Jam: Let's Play Two,"$450,273"
417,Before We Vanish,"$448,829"
418,On the Beach at Night Alone,"$429,159"
419,Manifesto,"$416,389"
420,The Ottoman Lieutenant,"$413,844"
421,"Love, Kennedy","$407,871"
422,Chasing Trane: The John Coltrane Documentary,"$406,284"
423,Racer and the Jailbird,"$400,026"
424,Berlin Syndrome,"$397,783"
425,Samurai Cop,"$384,756"
426,Digimon Adventure tri. Part 5: Coexistence,"$382,119"
427,I'll Push You: A Real-Life Inspiration,"$378,899"
428,Eloise,"$372,137"
429,The Void,"$368,372"
430,BOSTON: An American Running Story,"$364,369"
431,The Breadwinner,"$363,307"
432,Disney Junior HalloVeen Party!,"$359,745"
433,Government 3,"$358,928"
434,Long Strange Trip - The Untold Story of The Grateful Dead,"$351,957"
435,Tehran Taboo,"$349,886"
436,The Vault,"$346,729"
437,Countdown to Canelo vs. Chavez Jr.,"$343,387"
438,Don't Hang Up,"$332,571"
439,Citizen Jane: Battle for the City,"$323,124"
440,6 Days,"$316,946"
441,Obit.,"$315,049"
442,David Lynch: The Art Life,"$311,470"
443,I Do... Until I Don't,"$280,668"
444,"Lou Andreas-Salomé, The Audacity to be Free","$278,982"
445,Chavela,"$272,842"
446,Stalker,"$269,881"
447,Meri Pyaari Bindu,"$268,067"
448,Félicité,"$265,495"
449,Half Girlfriend,"$261,597"
450,Dean,"$254,536"
451,Gook,"$251,541"
452,Band Aid,"$248,370"
453,Crown Heights,"$238,558"
454,American Satan,"$237,708"
455,Little Shop of Horrors 2017 Re-release,"$233,865"
456,City of Ghosts,"$228,225"
457,Jeremiah Tower: The Last Magnificent,"$228,153"
458,Rumble: The Indians Who Rocked The World,"$226,006"
459,Take Every Wave: The Life of Laird Hamilton,"$223,301"
460,California Typewriter,"$218,563"
461,Risk,"$214,669"
462,Marjorie Prime,"$213,858"
463,The Wound,"$213,043"
464,Big Sonia,"$212,471"
465,The Desert Bride,"$205,350"
466,Sicilian Ghost Story,"$204,892"
467,Pop Aye,"$204,464"
468,The Bad Batch,"$201,890"
469,9/11,"$200,229"
470,Ex Libris: New York Public Library,"$198,239"
471,Mom,"$195,701"
472,The Divine Order,"$195,081"
473,Past Life,"$191,678"
474,Munna Michael,"$189,105"
475,Score,"$184,025"
476,Whose Streets?,"$182,799"
477,I Am Not A Witch,"$182,462"
478,Bye Bye Germany,"$176,933"
479,Better Watch Out,"$176,288"
480,Champion,"$175,232"
481,Rodin 2017 Re-release,"$172,619"
482,Valley of Bones,"$168,738"
483,Beauty and the Dogs,"$167,723"
484,The Day After,"$166,022"
485,Walking Out,"$162,445"
486,Harmonium,"$153,283"
487,Lupin the 3rd: Castle of Cagliostro 2017 Re-release,"$151,802"
488,Restless Creature: Wendy Whelan,"$147,780"
489,The Last Dalai Lama?,"$145,524"
490,Irving Berlin's Holiday Inn The Broadway Musical,"$144,550"
491,The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,"$135,168"
492,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$133,006"
493,I Called Him Morgan,"$128,986"
494,The B-Side: Elsa Dorfman's Portrait Photography,"$125,227"
495,Tragedy Girls,"$122,211"
496,The Levelling,"$118,451"
497,"We Love You, Sally Carmichael!","$113,435"
498,Abacus: Small Enough to Jail,"$113,278"
499,The Recall,"$112,357"
500,How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,"$112,071"
501,The Trouble with Terkel,"$110,289"
502,The Fifth Element 2017 Re-release,"$109,786"
503,Wedding Party 2,"$109,459"
504,The Lure,"$108,846"
505,"Love, Cecil","$107,940"
506,The Bachelors,"$106,212"
507,A Ciambra,"$104,808"
508,The Gracefield Incident,"$102,256"
509,Aida's Secrets,"$98,468"
510,Blind,"$98,280"
511,"Tim Timmerman, Hope of America","$97,727"
512,Dina,"$96,524"
513,Keep Watching,"$94,178"
514,Because of Grácia,"$90,878"
515,Porto,"$90,849"
516,Night of the Living Dead,"$89,029"
517,Glory,"$87,728"
518,Singularity,"$86,822"
519,School Life,"$86,616"
520,Jackals,"$85,410"
521,Chapter & Verse,"$84,147"
522,Harold and Lillian: A Hollywood Love Story,"$78,301"
523,Bill Nye: Science Guy,"$74,909"
524,Wait for Your Laugh,"$73,585"
525,Vengeance: A Love Story,"$73,270"
526,Te Ata,"$73,236"
527,Buster's Mal Heart,"$73,121"
528,Headshot,"$73,010"
529,Turn It Around: The Story of East Bay Punk,"$69,787"
530,My Entire High School Sinking Into the Sea,"$68,883"
531,Alive and Kicking,"$68,485"
532,Summer in the Forest,"$67,743"
533,Architects of Denial,"$65,424"
534,Manolo: the Boy Who Made Shoes for Lizards,"$64,889"
535,The Tiger Hunter,"$62,398"
536,Donald Cried,"$61,406"
537,The Outcasts,"$61,250"
538,The Untamed,"$61,249"
539,The Sacrifice 2017 Re-release,"$61,018"
540,Just One Drop,"$60,078"
541,The Force,"$59,912"
542,Bang! The Bert Berns Story,"$59,299"
543,The Boom,"$57,962"
544,Saving Brinton,"$56,218"
545,False Confessions,"$56,165"
546,XX,"$55,668"
547,Naam Shabana,"$55,429"
548,Twenty Two 2017 Re-release,"$55,001"
549,Birdboy: The Forgotten Children,"$52,366"
550,Tickling Giants,"$51,499"
551,Keep Quiet,"$50,451"
552,Quest,"$50,022"
553,Person to Person,"$48,499"
554,Saving Banksy,"$47,965"
555,So B. It,"$47,627"
556,78/52: Hitchcock's Shower Scene,"$46,838"
557,Panique,"$46,041"
558,Maurice 2017 Re-release,"$45,926"
559,The Farthest,"$44,921"
560,"Léon Morin, Priest 2017 Re-release","$44,511"
561,Hermia & Helena,"$44,156"
562,Woodshock,"$43,682"
563,The Settlers,"$41,562"
564,Karl Marx City,"$41,072"
565,Life and Nothing More,"$40,581"
566,Unrest,"$40,081"
567,Belle de Jour 2017 Re-release,"$38,624"
568,The Blackcoat's Daughter,"$38,348"
569,The Crime of Monsieur Lange,"$38,002"
570,I Am the Blues,"$37,849"
571,Bending the Arc,"$36,586"
572,Brimstone & Glory,"$36,036"
573,Almost Friends,"$35,842"
574,Growing Up Smith,"$35,312"
575,Rat Film,"$35,195"
576,The Old Dark House,"$34,649"
577,Sophie and the Rising Sun,"$34,630"
578,Le Trou,"$34,588"
579,Dave Made a Maze,"$34,117"
580,Below Her Mouth,"$33,673"
581,Wasted! The Story of Food Waste,"$33,211"
582,Love & Taxes,"$33,150"
583,Super Dark Times,"$33,109"
584,Spettacolo,"$32,494"
585,Signature Move,"$31,551"
586,Sidemen: Long Road to Glory,"$31,399"
587,Mudbound,"$31,389"
588,7 Witches,"$31,100"
589,Dealt,"$30,414"
590,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It 2017 Re-release","$30,380"
591,No Greater Love,"$30,247"
592,Uncertain,"$29,736"
593,Lemon,"$29,258"
594,The Transfiguration,"$28,631"
595,Carrie Pilby,"$28,430"
596,The Strange Ones,"$28,374"
597,Ribbons,"$27,959"
598,Radio Dreams,"$27,836"
599,30 Years of Garbage: The Garbage Pail Kids Story,"$27,739"
600,Bronx Gothic,"$27,151"
601,Mali Blues,"$26,950"
602,They Call us Monsters,"$26,080"
603,Women Like Us,"$25,859"
604,In Search of Fellini,"$25,269"
605,The Lucky Man,"$25,015"
606,Ugetsu,"$24,959"
607,Naples '44,"$24,863"
608,Marius/Fanny/César,"$24,787"
609,Paradise 2017 Re-release,"$24,749"
610,The Departure,"$24,662"
611,Jasmine,"$24,248"
612,Simple Creature,"$23,918"
613,Vincent N Roxxy,"$23,896"
614,"A Woman, a Part","$23,562"
615,For Ahkeem,"$23,136"
616,Finding Oscar,"$23,116"
617,The Grace of Jake,"$23,078"
618,Trophy,"$22,553"
619,Middleground,"$22,490"
620,Realms,"$22,443"
621,Paradise Club,"$22,381"
622,The Passion of Joan of Arc,"$21,877"
623,Dead Awake,"$21,675"
624,Song Of Granite,"$21,349"
625,God Knows Where I Am,"$21,135"
626,Massacre on Aisle 12,"$21,106"
627,A Beginner's Guide to Snuff,"$21,031"
628,Man Underground,"$20,907"
629,All These Sleepless Nights,"$20,762"
630,The Work,"$20,554"
631,Burden,"$20,437"
632,Ichi the Killer 2017 Re-release,"$20,285"
633,The Man from Outer Space,"$20,102"
634,Heat and Dust 2017 Re-release,"$19,856"
635,Trafficked,"$19,698"
636,BOSTON: An American Running Story 2017 Re-release,"$19,499"
637,Mansfield 66/67,"$19,390"
638,L'important c'est d'aimer,"$19,120"
639,Bobbi Jene,"$18,579"
640,All the Rage,"$18,489"
641,The Ghoul,"$18,459"
642,"Intent to Destroy: Death, Denial & Depiction 2017 Re-release","$18,340"
643,SHOT! The Psycho-Spiritual Mantra of Rock,"$18,295"
644,The Last Shaman,"$17,844"
645,Escapes,"$17,778"
646,Sacred,"$17,740"
647,Bad Grandmas,"$17,688"
648,Food Evolution,"$17,181"
649,Swim Team,"$16,783"
650,The Freedom to Marry,"$16,611"
651,Brave New Jersey,"$16,544"
652,33 & Beyond: The Royal Art of Freemasonry,"$16,533"
653,Mission Control: The Unsung Heroes of Apollo,"$16,405"
654,Dying to Know: Ram Dass & Timothy Leary,"$16,397"
655,This is Our Land,"$16,182"
656,All the Queen's Horses,"$16,172"
657,Charged: The Eduardo Garcia Story,"$15,920"
658,Defining Hope,"$15,788"
659,Basmati Blues,"$15,605"
660,Contemporary Color,"$15,305"
661,Rebels on Pointe,"$15,088"
662,Vince Giordano: There's a Future in the Past,"$14,807"
663,Sweet Virginia,"$14,725"
664,Last Men in Aleppo,"$14,637"
665,Antarctica: Ice and Sky 2017 Re-release,"$14,475"
666,Machines,"$14,331"
667,Time to Die,"$13,707"
668,Red Trees,"$13,666"
669,Shadowman,"$13,498"
670,Solaris 2017 Re-release,"$13,352"
671,"Intent to Destroy: Death, Denial & Depiction","$13,194"
672,The Last Rampage,"$12,944"
673,Taipei Story,"$12,897"
674,Permanent,"$12,847"
675,Junction 48,"$12,795"
676,Heal,"$12,668"
677,Seven Beauties,"$12,408"
678,4 Days in France,"$12,273"
679,Autumn Sonata 2017 Re-release,"$11,959"
680,Frank Serpico,"$11,925"
681,The Tribes of Palos Verdes,"$11,603"
682,Beside Bowie: The Mick Ronson Story,"$11,400"
683,Saigon Bodyguards,"$11,314"
684,The Pathological Optimist,"$11,222"
685,The Challenge,"$11,043"
686,Hollow in the Land,"$10,688"
687,Lovesong,"$10,626"
688,Clarence,"$10,495"
689,Painted Woman,"$10,298"
690,Amelia 2.0,"$10,233"
691,The Sunshine Makers,"$10,042"
692,Pelle the Conqueror 2017 Re-release,"$9,757"
693,Living Proof,"$9,512"
694,Miss Kiet's Children 2017 Re-release,"$9,384"
695,Thirst Street,"$9,129"
696,Lycan,"$9,110"
697,The Eyes,"$9,104"
698,Julian Schnabel: A Private Portrait,"$9,103"
699,Revolt,"$8,986"
700,Amnesia,"$8,700"
701,Inspector Maigret,"$8,528"
702,We Are the Flesh,"$8,438"
703,Gilbert,"$8,362"
704,Natasha,"$8,325"
705,Mr. Chibbs,"$8,302"
706,Served Like a Girl,"$8,290"
707,Anatahan,"$8,171"
708,From Nowhere,"$8,109"
709,Swept Away,"$7,876"
