,Movies,Worldwide Collections
660,After Auschwitz,"$73,885"
661,Primal Rage: The Legend of Konga,"$73,383"
662,Antonio Lopez 1970: Sex Fashion & Disco,"$73,122"
663,The Fog 2018 Re-release,"$70,421"
664,Wastelander,"$70,045"
665,Chef Flynn,"$69,542"
666,Outside In,"$68,492"
667,The Eyes of Orson Welles,"$68,328"
668,10x10,"$68,260"
669,Making the Five Heartbeats,"$67,415"
670,The Doctor from India,"$67,136"
671,"3100, Run and Become","$66,789"
672,Searching for Ingmar Bergman,"$64,742"
673,"Monrovia, Indiana","$64,596"
674,The Gardener,"$62,734"
675,The Swan,"$62,716"
676,River Runs Red,"$61,789"
677,Here and Now,"$61,271"
678,Never Goin' Back,"$61,271"
679,A Kid Like Jake,"$60,784"
680,Viper Club,"$60,607"
681,Bomb City,"$59,329"
682,Digimon Adventure tri. Part 4: Loss,"$59,114"
683,Horn from the Heart: The Paul Butterfield Story,"$58,597"
684,Cynthia,"$58,177"
685,In Search of Greatness,"$58,090"
686,Ramen Heads,"$57,345"
687,Mamma Mia! 2018 Re-release,"$55,168"
688,American Dream: Detroit,"$55,092"
689,DAZN Boxing: Canelo Alvarez vs. Rocky Fielding,"$54,916"
690,Digimon Adventure tri. Part 6: Future,"$54,324"
691,The Assassin's Code,"$53,940"
692,The Legend of Hallowaiian,"$53,738"
693,Grass,"$53,503"
694,The Great Silence,"$53,074"
695,The Snowman Trek,"$51,743"
696,Wanda 2018 Re-release,"$51,713"
697,The Royal Wedding: Prince Harry and Meghan Markle,"$50,264"
698,Bigger,"$49,997"
699,Jumanji/Jumanji: Welcome to the Jungle 2018 NCM Fathom Event,"$49,381"
700,Hal,"$49,045"
701,The China Hustle,"$48,650"
702,350 Days - Legends. Champions. Survivors,"$47,526"
703,Mercury,"$45,429"
704,That Summer,"$44,659"
705,Submission,"$44,069"
706,Liyana,"$44,045"
707,Garry Winogrand: All Things are Photographable,"$44,002"
708,Hitler's Hollywood,"$43,766"
709,First We Take Brooklyn,"$42,812"
710,Golden Exits,"$41,888"
711,Jonathan,"$41,558"
712,Blue Iguana,"$41,050"
713,On Her Shoulders,"$40,145"
714,Humor Me,"$40,099"
715,An Elephant Sitting Still,"$39,599"
716,I Do Not Care If We Go Down in History as Barbarians,"$39,171"
717,Divide and Conquer,"$38,510"
718,Araby,"$38,399"
719,No Intenso Agora,"$38,223"
720,Gray Matter,"$38,034"
721,The Heart of Nuba,"$37,788"
722,Krystal,"$37,516"
723,Small Group,"$37,058"
724,24 Frames,"$37,045"
725,Mind Game,"$36,613"
726,For Those Who Don't Read Me,"$36,506"
727,Le Corbeau,"$36,089"
728,The House of Tomorrow,"$35,821"
729,The Road Movie,"$35,757"
730,Good Manners,"$35,714"
731,PGS: Intuition Is Your Personal Guidance System,"$35,423"
732,Holy Hell,"$34,366"
733,Maui,"$33,953"
734,"Distant Voices, Still Lives 2018 Re-release","$33,301"
735,The Nun,"$32,659"
736,Sollers Point,"$32,608"
737,Goodland,"$32,140"
738,Moynihan,"$31,970"
739,Poor Boy,"$31,031"
740,Heavy Trip,"$30,351"
741,Cold Water,"$30,209"
742,Memories of Underdevelopment 2018 Re-release,"$29,647"
743,Charm City,"$29,335"
744,Restoring Tomorrow,"$28,556"
745,Quai des Orfèvres 2018 Re-release,"$28,013"
746,The Amendment,"$27,961"
747,Senso,"$27,723"
748,Milford Graves Full Mantis,"$26,566"
749,At First Light,"$26,338"
750,Marlina the Murderer in Four Acts,"$26,331"
751,The Misandrists,"$26,123"
752,Ridge Runners,"$26,019"
753,Jet Trash 2018 Re-release,"$26,002"
754,Black Mother,"$25,919"
755,Vazante,"$25,091"
756,An Elephant's Journey,"$24,844"
757,Too Late to Die Young,"$24,487"
758,Under The Wire,"$23,897"
759,Death House,"$23,833"
760,An Evening with Beverly Luff Linn,"$23,515"
761,Letter from Masanjia,"$23,481"
762,The Judge,"$23,127"
763,Three Peaks,"$23,069"
764,Anything,"$22,537"
765,The Atomic Cafe,"$22,293"
766,Winning Formula,"$22,189"
767,The Female Brain,"$21,786"
768,Half the Picture,"$21,589"
769,Hagazussa,"$21,487"
770,Tyrel,"$21,456"
771,Ganja & Hess,"$21,197"
772,The Happys,"$21,108"
773,Ava,"$20,940"
774,Did You Wonder Who Fired the Gun?,"$20,765"
775,Freak Show,"$20,657"
776,Ice Dragon: Legend of the Blue Daisies,"$20,549"
777,The Devil and Father Amorth,"$20,449"
778,Izzy Gets the F*ck Across Town,"$20,208"
779,Apocalypsis,"$20,052"
780,Eight Hours Don't Make a Day,"$19,987"
781,"One Sings, the Other Doesn't","$19,919"
782,Active Measures,"$19,862"
783,Damascus Cover,"$19,532"
784,Who We Are Now,"$19,128"
785,November,"$19,084"
786,Frank and Ava,"$18,829"
787,Crime + Punishment,"$18,644"
788,The Pagan King: The Battle of Death,"$18,598"
789,Allegiance to Broadway,"$18,527"
790,Desolation,"$18,490"
791,306 Hollywood,"$18,399"
792,King of Hearts,"$18,130"
793,Batman: Mask of the Phantasm 2018 Re-release,"$17,813"
794,The Chronicle of Anna Magdalena Bach,"$17,527"
795,"A Bread Factory, Part One/A Bread Factory, Part Two","$17,325"
796,Revival,"$17,252"
797,Haikara-San: Here Comes Miss Modern,"$16,572"
798,Detour,"$16,172"
799,Out on Stage,"$15,623"
800,Bob le Flambeur,"$15,586"
801,When You Read This Letter,"$15,552"
802,Postcards from London,"$15,548"
803,Tom of Finland 2018 Re-release,"$15,483"
804,Narcissister Organ Player,"$15,334"
805,People's Republic of Desire,"$15,241"
806,Trust Machine: The Story of Blockchain,"$14,905"
807,Ferrante Fever,"$14,518"
808,The Public Image is Rotten,"$14,464"
809,The Last Movie Star,"$14,410"
810,Chasing the Blues,"$14,030"
811,Weed the People,"$13,926"
812,Stavisky...,"$13,793"
813,Our Blood is Wine,"$13,210"
814,Like Me,"$12,965"
815,Kangaroo,"$12,626"
816,American Socialist: The Life and Times of Eugene Victor Debs,"$12,609"
817,Of Fathers and Sons,"$12,579"
818,My Art,"$12,554"
819,American Chaos,"$12,368"
820,L'héritage de la chouette,"$12,316"
821,The Most Unknown,"$12,119"
822,The Last Race,"$11,947"
823,Les Parents Terribles,"$11,818"
824,Summer '03,"$11,746"
825,Around India with a Movie Camera,"$11,568"
826,Rendezvous in July,"$11,321"
827,Bullitt County,"$11,257"
828,Edward II 2018 Re-release,"$11,055"
829,Class Rank,"$10,452"
830,Mama Africa 2018 Re-release,"$10,430"
831,The Advocates,"$10,402"
832,The Quest of Alain Ducasse,"$9,627"
833,Strangers on the Earth,"$9,518"
834,El Mar La Mar,"$9,065"
835,Step Up: High Water,"$9,005"
836,Zoo Wars,"$8,998"
837,Survivors Guide To Prison,"$8,982"
838,Colossal Youth,"$8,968"
839,Summer of '67,"$8,941"
840,This is Congo,"$8,905"
841,Blood Feast,"$8,708"
842,Furlough,"$8,472"
843,Spiral,"$8,190"
844,Legend of the Mountain,"$7,640"
845,Shoah: Four Sisters,"$7,323"
846,Tall: The American Skyscraper and Louis Sullivan,"$7,216"
847,Painless,"$7,082"
848,In Echo Park,"$7,072"
849,In the Land of Pomegranates,"$7,014"
850,Duck Butter,"$6,877"
851,Calling All Earthlings,"$6,756"
852,A Whale of a Tale,"$6,747"
853,Iceman,"$6,719"
854,One Last Thing,"$6,232"
855,I Am MLK Jr.,"$5,918"
856,An Actor Prepares,"$5,891"
857,Are We Not Cats,"$5,518"
858,Cuban Food Stories,"$5,434"
859,In Searching,"$5,210"
860,Intersection,"$5,116"
861,Notes on an Appearance,"$5,065"
862,The Texture of Falling,"$5,010"
863,Social Animals,"$5,007"
864,An L.A. Minute,"$5,004"
865,The Other Side of Everything,"$4,685"
866,The Long Dumb Road,"$4,667"
867,Weightless,"$4,530"
868,The Peacemaker,"$4,400"
869,The Party's Just Beginning,"$4,371"
870,Cocote,"$4,224"
871,Stella's Last Weekend,"$4,215"
872,Armed,"$3,948"
873,American Dresser,"$3,895"
874,The Second Time Around,"$3,837"
875,Nelly,"$3,751"
876,The Family,"$3,696"
877,Fourplay,"$3,550"
878,The Citizen 2018 Re-release,"$3,495"
879,The Cage Fighter,"$3,392"
880,Followers,"$3,350"
881,Over the Limit,"$3,243"
882,Game Changers,"$3,142"
883,Hot to Trot,"$3,133"
884,Nana,"$2,784"
885,Straight Into a Storm,"$2,684"
886,ACORN and the Firestorm,"$2,621"
887,West Of The Jordan River,"$1,926"
888,Finding Happiness,"$1,841"
889,The Lost Village,"$1,780"
890,Henchmen,"$1,469"
891,That Way Madness Lies...,"$1,447"
892,Beauty and the Beholder,"$1,368"
893,Altered Perception,"$1,259"
894,Two Men Went to War 2018 Re-release,"$1,227"
895,Under the Turban,"$1,190"
896,Half Brothers,"$1,100"
897,Invisible Hands,"$1,034"
898,TVTV: Video Revolutionaries,$812
899,Higher Power,$528
