,Movies,Worldwide Collections
157,Gonjiam: Haunted Asylum,"$21,041,950"
158,My Hero Academia: Two Heroes,"$21,022,724"
159,SuperFly,"$20,780,685"
160,If Beale Street Could Talk,"$20,596,567"
161,Burn the Stage: The Movie,"$20,347,513"
162,Cold War 2018 Re-release,"$20,296,042"
163,The Wife,"$19,978,189"
164,Everybody Knows,"$19,176,163"
165,They Shall Not Grow Old 2018 Re-release,"$19,130,011"
166,Oolong Courtyard: KungFu School,"$19,129,015"
167,Detective K: Secret of the Living Dead,"$18,603,476"
168,Airpocalypse,"$18,491,089"
169,Chappaquiddick,"$18,263,470"
170,Sorry to Bother You,"$18,170,707"
171,Hell Fest,"$18,159,691"
172,The Old Man & the Gun,"$17,860,397"
173,The Children Act,"$17,696,794"
174,Operation Finale,"$17,612,099"
175,Loving Pablo,"$17,535,962"
176,102 Not Out,"$16,758,596"
177,Beautiful Boy,"$16,636,604"
178,Upgrade,"$16,593,554"
179,Forever My Girl,"$16,376,066"
180,Unfriended: Dark Web,"$16,024,987"
181,Finding Your Feet,"$15,845,593"
182,Feng Shui,"$15,702,302"
183,Tully,"$15,636,462"
184,The Negotiation,"$15,229,193"
185,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,"$14,895,840"
186,RBG,"$14,441,292"
187,Eighth Grade,"$14,347,433"
188,Thugs of Hindostan,"$14,341,431"
189,Unsane,"$14,293,601"
190,Colette,"$14,273,033"
191,Ya veremos,"$14,134,723"
192,The Quake,"$13,837,294"
193,Three Identical Strangers,"$13,448,497"
194,Hotel Artemis,"$13,313,581"
195,The Sisters Brothers,"$13,143,056"
196,Welcome to Marwen,"$13,061,491"
197,Take Point,"$12,908,032"
198,Luis and the Aliens,"$12,627,729"
199,Can You Ever Forgive Me?,"$12,442,161"
200,Rampant,"$12,359,573"
201,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849"
202,Little Women,"$12,165,890"
203,Boy Erased,"$11,853,081"
204,Unstoppable,"$11,845,347"
205,Last Letter,"$11,834,622"
206,Ash Is Purest White,"$11,813,509"
207,Ballon,"$11,799,591"
208,King of Thieves,"$11,353,515"
209,At Eternity's Gate,"$11,261,585"
210,La boda de Valentina,"$11,021,794"
211,Gringo,"$11,001,627"
212,2.0,"$10,847,903"
213,Golden Slumber,"$10,733,326"
214,Red Joan,"$10,647,493"
215,Every Day,"$10,421,847"
216,Swing Kids,"$10,397,408"
217,Lobster Cop,"$10,373,129"
218,Kin,"$10,313,019"
219,Girls vs Gangsters,"$10,265,819"
220,The Miracle Season,"$10,230,620"
221,Ben Is Back,"$10,134,204"
222,Papillon,"$10,060,903"
223,The Princess and the Matchmaker,"$9,899,017"
224,Simmba,"$9,839,639"
225,Traffik,"$9,515,914"
226,Replicas,"$9,330,075"
227,Mid90s,"$9,303,022"
228,Champion,"$8,974,547"
229,7 Days in Entebbe,"$8,771,432"
230,Pope Francis: A Man of His Word,"$8,608,385"
231,A-X-L,"$8,467,697"
232,Disobedience,"$8,003,180"
233,Life Itself,"$7,997,774"
234,Suspiria,"$7,942,093"
235,Qué León,"$7,807,916"
236,Amazing Grace,"$7,796,112"
237,Leave No Trace,"$7,682,928"
238,Pandas,"$7,635,778"
239,Burning,"$7,576,345"
240,Beirut,"$7,509,436"
241,God's Not Dead: A Light in Darkness,"$7,414,178"
242,Return of the Hero,"$7,362,730"
243,In Safe Hands,"$7,086,596"
244,Dog Days,"$6,819,044"
245,Race 3,"$6,817,391"
246,Fahrenheit 11/9,"$6,674,168"
247,Soorma,"$6,579,645"
